Index,sexe,age,province,bureau,visite_score,satisfait_score,la foule,Manque des employé,mauvaise maniere Traitement,les_horaires,jourFoule,bureauAvis,amileoration
21,Homme,entre 18 et 25ans,FES-MEDINA,ANDALOUS,plusieurs fois par année,4,0,0,1,entre 9 et 11,mercredi,Plus de bus pour réduire la congestion,Beau
22,Homme,entre 18 et 25ans,SAISS,MOURABITEN,rarement,3,0,1,0,entre 9 et 11,mardi,Augmentation des fonctionnaires + chaque fonctionnaire travail dans ça spécialité ,Po mal
23,Homme,entre 18 et 25ans,JNAN EL WARD,JNANAT,des fois par année,2,1,0,1,entre 9 et 11,mercredi,...,   كون مكاش صاحبو دالواليد خدام فيها كون راه كان شحال من بربليم
24,Homme,entre 25 et 35,SAISS,NARJISS,rarement,1,1,1,1,entre 1 et 3,lundi,Utilisation des données informatisées,Globalement bien
25,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,rarement,3,1,0,1,entre 9 et 11,lundi,respectés les citoyens,trés mal
26,Homme,entre 18 et 25ans,JNAN EL WARD,EL KOBA,rarement,1,0,0,1,entre 9 et 11,lundi,تطبيق المراسيم التي صودق عليها مسبقا التي تنص على حذف عديد الشواهد الإدارية والإعفاء من المصادقة على الإمضاء لبعضها وتبسيط المساطر الإدارية للحصول على الوثائق المطلوبة.,مكتب الحالة المدنية بمقاطعة القبة وخدماته تبقى دون المستوى لسنوات عديدة دون محاولة إصلاح الأمر
27,Femme,entre 18 et 25ans,ZOUGHA,EL MASSIRA,plusieurs fois par année,0,0,0,1,entre 9 et 11,lundi,,
28,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,rarement,0,0,0,1,entre 9 et 11,lundi,,
29,Homme,entre 18 et 25ans,AGDAL,SIDI BRAHIMANDALOUS,plusieurs fois par année,3,0,1,1,entre 9 et 11,lundi,une meilleure formation pour les employés,pourrait être mieux
30,Femme,entre 18 et 25ans,JNAN EL WARD,SIDI BOUJIDA,des fois par année,3,0,1,0,entre 9 et 11,lundi,,
31,Femme,entre 18 et 25ans,MERINIDES,BEN DABBAB :,rarement,1,1,0,0,entre 9 et 11,lundi,,
32,Femme,entre 18 et 25ans,SAISS,NARJISS,plusieurs fois par année,4,0,1,0,entre 9 et 11,jeudi,,
33,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,plusieurs fois par année,1,0,1,0,entre 9 et 11,lundi,L'employé doit être dans son bureau tôt et le service doit être disponible dans un système et non par la corruption et le favoritisme,mauvais service
34,Homme,entre 25 et 35,JNAN EL WARD,LOUIZAT,rarement,0,1,1,1,entre 11 et 1,lundi,زيادة في عدد الموضفين و المكاتب و رقمنة الادارة,دون المستوى
35,Homme,entre 18 et 25ans,SAISS,ZOUHOUR,plusieurs fois par année,0,0,0,1,aprés 3,lundi,impossible,mal
36,Femme,entre 18 et 25ans,AGDAL,DOUKKARATBOUANANIA,rarement,2,0,1,1,entre 9 et 11,lundi,,
37,Femme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,rarement,0,0,0,1,entre 9 et 11,lundi,",",","
38,Homme,entre 18 et 25ans,MERINIDES,BEN DABBAB :,plusieurs fois par année,3,0,0,1,entre 9 et 11,mardi,,
39,Homme,entre 18 et 25ans,SAISS,NARJISS,rarement,1,1,1,1,entre 9 et 11,lundi,"Il a besoin d'un très gros travail, je pense que si les services étaient tous à distance, ce serait beaucoup mieux","Très mauvais services, parfois j'ai besoin de trois heures ou plus pour passer mes besoins, ce qui est vraiment très mauvais"
40,Homme,entre 25 et 35,SAISS,AIN AMER,rarement,2,1,0,0,entre 9 et 11,lundi,service des extraits de naissance doit etre informatise,bien
41,Homme,entre 18 et 25ans,JNAN EL WARD,LOUIZAT,des fois par année,3,0,0,1,entre 1 et 3,vendredi,La manière ou la façons de traiter avec les gens,Pas mal
42,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,0,0,0,1,entre 9 et 11,lundi,المراقبة باش كل واحد يعرف ان هاديك خدمتو ماشي تطوع منو باش يبقا يتنفخ ,معاملة لا تناسب الإدارات 
43,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,3,0,0,1,entre 9 et 11,lundi,respect le temps et bon service ,ne pas bon service 
44,Femme,entre 18 et 25ans,SAISS,ZOUHOUR,des fois par année,2,0,1,0,entre 9 et 11,lundi,Je pense que les employés devraient améliorer la qualité de leur travail,Pas mal en général
45,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,2,0,0,1,entre 9 et 11,mardi,,
46,Femme,entre 18 et 25ans,SAISS,RIAD,des fois par année,3,0,1,1,entre 9 et 11,lundi,Respect ,
47,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,3,0,0,1,entre 9 et 11,lundi,,
48,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,0,0,1,0,entre 9 et 11,mercredi,,
49,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,0,0,1,1,entre 11 et 1,lundi,الرفع من عدد الاداريين و المستقبلين وتوعية المواطنين  مع ضرورة اعتماد الخدمات الالكترونية ,أظن أنه هناك غياب للتنظيم وضعف عدد الاداريين مقارنة مع عدد الزوار
50,Femme,entre 18 et 25ans,JNAN EL WARD,LOUIZAT,des fois par année,0,0,0,1,entre 9 et 11,lundi,d'abord les employés doivent être moraux car il ya un grand manque de respect vers les citoyens +   donner l'opportunité aux jeunes d'y travailler ,extrêmement mauvais
51,Femme,entre 18 et 25ans,FES-MEDINA,BLIDA,des fois par année,3,0,0,1,entre 9 et 11,vendredi,,
52,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,2,0,1,0,entre 9 et 11,mercredi,augmenté nb des emplyer + gestion de service et en fin plus de respect,pas male
53,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,rarement,0,1,1,1,entre 9 et 11,lundi,Des sites et des applications afin da faciliter les services pour les citoyens ,Il est incapable d'accomplir ses tâches et a beaucoup de voleurs 
54,Femme,entre 25 et 35,ZOUGHA,ZOUGHA,des fois par année,0,0,1,1,entre 9 et 11,lundi,,
55,Homme,entre 25 et 35,FES-MEDINA,BATHA,rarement,1,0,0,1,entre 9 et 11,lundi,Increasing the number of employees and the use of technology to faster the services ,
56,Femme,entre 25 et 35,SAISS,NARJISS,plusieurs fois par année,3,1,0,1,entre 11 et 1,lundi,"Organiser le circuit de travail 
Répondre aux besoins de la population dans les brefs délais 
Lutter contre la corruption
Assurer le personnel suffisant pour répondre aux besoins de la population ","Des services un peu satisfaisants , la foule et mauvaise organisation "
57,Femme,entre 18 et 25ans,ZOUGHA,BENSOUDA,rarement,2,1,0,0,entre 9 et 11,lundi,إضافة موظفين في كل مصلحة  حتى يتسنى للمواطنين   قضاء مصالحهم بشكل سريع ,أجد أن خدماته جيدة
58,Homme,entre 18 et 25ans,MERINIDES,TGHAT,rarement,2,1,0,0,entre 1 et 3,lundi,,
59,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,plusieurs fois par année,2,0,1,0,entre 9 et 11,lundi,"Augmenter le nombre des employés 
Changer totalement le décore de la comune (c’est pas bon qu’une comune ne s’est pas changé dendans pour des dizaines d’années)
Plus d’agents de sécurité pour tout bien organiser 
Appliquer la loi des amendes sur les employés ",Il a besoin d’un renouvellement 
60,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,0,0,0,1,entre 9 et 11,lundi,,عدم الاحترافية، 
61,Femme,entre 18 et 25ans,AGDAL,SIDI BRAHIMKARAOUIYINE,rarement,3,0,1,0,entre 1 et 3,lundi,,
62,Homme,entre 18 et 25ans,AGDAL,AGDALLAMTIYINE,rarement,2,1,1,1,entre 9 et 11,mercredi,Reformulation complètement et formation continue des employés ,Manque de responsabilité et de sérieux 
63,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,2,1,1,1,entre 11 et 1,vendredi,,
64,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,3,0,1,1,entre 11 et 1,vendredi,,
65,Femme,entre 18 et 25ans,AGDAL,SIDI BRAHIMLAMTIYINE,des fois par année,3,0,0,1,entre 9 et 11,lundi,"Augmenter le nombre d'employés pour éviter le surpeuplement
Formation des comités de suivi",Ils fournissent un service insatisfaisant en raison de la négligence de certains employés et de l'incapacité à faciliter les services aux citoyens parfois
66,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,2,0,0,1,entre 11 et 1,jeudi,,
67,Femme,entre 18 et 25ans,MERINIDES,BEN DABBAB :,plusieurs fois par année,3,0,0,1,entre 11 et 1,mercredi,Bien controler ,Mauvaise affaire
68,Homme,entre 18 et 25ans,FES-MEDINA,BAB LKHOUKHA,rarement,0,0,0,1,entre 9 et 11,lundi,,
69,Femme,entre 18 et 25ans,FES-MEDINA,BAB LKHOUKHA,des fois par année,3,0,0,1,entre 9 et 11,lundi,,Des mal services 
70,Femme,entre 18 et 25ans,FES-MEDINA,ANDALOUS,rarement,2,0,0,1,entre 9 et 11,mardi,,
71,Homme,entre 18 et 25ans,AGDAL,DAR DBIBAGHANDALOUS,des fois par année,1,1,1,1,entre 9 et 11,lundi,Tout changer,Du n'importe quoi
72,Femme,entre 18 et 25ans,FES-MEDINA,BATHA,des fois par année,0,1,1,1,entre 9 et 11,lundi,,
73,Femme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,plusieurs fois par année,0,1,0,1,entre 9 et 11,lundi,,
74,Homme,entre 25 et 35,SAISS,NARJISS,des fois par année,3,1,0,0,entre 11 et 1,mardi,"Il faut du personnel et organiser le travail, simplifier les procédures administratives ",Il faut du personnel et organiser le travail 
75,Femme,entre 18 et 25ans,MERINIDES,DHAR LAKHMISS,rarement,0,0,0,1,entre 11 et 1,lundi,,
76,Homme,entre 18 et 25ans,SAISS,ZOUHOUR,des fois par année,2,0,0,1,entre 9 et 11,vendredi,,
77,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,0,0,0,1,entre 9 et 11,lundi,Des personnages morales,Mauvaise 
78,Femme,entre 18 et 25ans,FES-MEDINA,BAB LKHOUKHA,des fois par année,2,1,0,1,entre 1 et 3,lundi,,
79,Femme,entre 18 et 25ans,FES-MEDINA,BATHA,des fois par année,3,0,0,1,entre 9 et 11,vendredi,,
80,Homme,entre 18 et 25ans,FES-MEDINA,ANDALOUS,plusieurs fois par année,0,1,1,1,entre 11 et 1,mardi,,
81,Femme,entre 18 et 25ans,AGDAL,AGDALANDALOUS,des fois par année,3,0,0,1,entre 9 et 11,lundi,Donner l l'opportunité à les jeunes de travailler ,Peu satisfaisant 
82,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,plusieurs fois par année,3,0,1,0,entre 11 et 1,vendredi,,
83,Femme,entre 18 et 25ans,JNAN EL WARD,SIDI BOUJIDA,des fois par année,1,0,0,1,entre 9 et 11,lundi,,
